lag_deg,ACF_Mesarthim,ACF_Sun,ACF_Moon,ACF_Mercury,ACF_Venus,ACF_Mars,ACF_Jupiter,ACF_Saturn,ACF_Uranus,ACF_Neptune,ACF_Pluto,ACF_Rahu,in_astro_lag,sig_Mesarthim,sig_Sun,sig_Moon,sig_Mercury,sig_Venus,sig_Mars,sig_Jupiter,sig_Saturn,sig_Uranus,sig_Neptune,sig_Pluto,sig_Rahu
0,+1.000000e+00,+1.000000e+00,+1.000000e+00,+1.000000e+00,+1.000000e+00,+1.000000e+00,+1.000000e+00,+1.000000e+00,+1.000000e+00,+1.000000e+00,+1.000000e+00,+1.000000e+00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
1,+4.630905e-01,+1.907066e-01,+1.586100e-04,+2.455486e-01,+2.198474e-01,+3.739343e-01,+5.196572e-01,+4.507930e-01,+4.667962e-01,+4.976201e-01,+4.355625e-01,+4.011717e-01,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
2,+3.739044e-01,+2.276351e-01,-2.105645e-02,+1.769939e-01,+1.721103e-01,+2.186278e-01,+4.150637e-01,+3.618302e-01,+4.268748e-01,+3.475863e-01,+3.314816e-01,+4.162894e-01,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
3,+3.354247e-01,+1.455456e-01,-4.699523e-02,+1.467497e-01,+2.061633e-01,+2.984223e-01,+3.259834e-01,+2.940588e-01,+3.424582e-01,+3.567938e-01,+2.535024e-01,+3.213971e-01,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
4,+3.348688e-01,+1.740594e-01,-3.098594e-03,+1.159586e-01,+1.404336e-01,+3.931021e-01,+2.676490e-01,+3.019763e-01,+3.013332e-01,+3.793277e-01,+3.429055e-01,+3.056618e-01,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
5,+3.704735e-01,+2.339791e-01,+1.219436e-02,+6.412876e-02,+1.459668e-01,+3.452629e-01,+2.826235e-01,+3.092450e-01,+2.747608e-01,+3.480485e-01,+3.537481e-01,+2.281069e-01,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes
6,+3.765030e-01,+1.761728e-01,+7.068254e-02,+1.167640e-01,+1.409713e-01,+3.008574e-01,+2.798940e-01,+3.244261e-01,+3.442323e-01,+3.664810e-01,+3.489644e-01,+2.577106e-01,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
7,+3.492495e-01,+1.524072e-01,+6.114113e-02,+3.219372e-02,+1.252895e-01,+2.519243e-01,+2.516044e-01,+2.382307e-01,+2.957188e-01,+3.807295e-01,+2.868007e-01,+1.791858e-01,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes
8,+3.691883e-01,+1.964744e-01,+4.914771e-02,+1.715566e-01,+1.129158e-01,+2.791952e-01,+2.523280e-01,+2.613920e-01,+2.842563e-01,+3.367852e-01,+2.610682e-01,+1.560404e-01,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
9,+3.076268e-01,+2.495734e-01,-3.387774e-02,+1.578250e-01,+1.182921e-01,+2.257840e-01,+2.650228e-01,+2.457758e-01,+2.801575e-01,+3.118641e-01,+2.738231e-01,+1.522097e-01,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
10,+2.792451e-01,+1.823586e-01,-1.576577e-01,+1.234188e-01,+2.109484e-01,+2.759050e-01,+2.677862e-01,+2.786982e-01,+2.753621e-01,+3.092832e-01,+2.827739e-01,+1.462108e-01,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
11,+2.917434e-01,+2.334869e-01,+5.911166e-02,+9.596389e-02,+1.631149e-01,+2.575824e-01,+3.315784e-01,+2.836574e-01,+2.851683e-01,+3.020159e-01,+2.902313e-01,+2.032965e-01,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes
12,+2.977543e-01,+1.831443e-01,+8.725013e-02,+1.170431e-01,+1.917469e-01,+2.125383e-01,+2.853872e-01,+2.567326e-01,+2.665591e-01,+2.391718e-01,+2.781736e-01,+2.426760e-01,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
13,+2.379742e-01,+6.399201e-02,+2.695068e-02,+8.613219e-02,+1.043990e-01,+2.241415e-01,+3.409045e-01,+1.845543e-01,+2.993454e-01,+2.641164e-01,+2.561336e-01,+1.609382e-01,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes
14,+3.107967e-01,+1.779682e-01,+1.874650e-02,+8.173343e-02,+9.635379e-02,+2.105259e-01,+3.070177e-01,+2.447332e-01,+3.052612e-01,+2.748539e-01,+1.904623e-01,+2.205604e-01,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes
15,+2.091875e-01,+1.188291e-01,+6.703078e-02,+1.227834e-01,+1.571185e-01,+2.415535e-01,+2.797010e-01,+1.995405e-01,+2.231216e-01,+2.084535e-01,+2.009495e-01,+2.229480e-01,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
16,+2.606205e-01,+1.828091e-01,+3.353103e-02,+6.371669e-02,+1.458938e-01,+2.166280e-01,+2.751984e-01,+2.326940e-01,+2.116043e-01,+2.195936e-01,+2.214772e-01,+2.530238e-01,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes
17,+2.567409e-01,+2.378285e-01,-9.224826e-02,+8.466749e-02,+7.596776e-02,+2.502797e-01,+2.564625e-01,+2.092079e-01,+1.927838e-01,+2.384517e-01,+2.509864e-01,+2.101785e-01,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes
18,+2.588445e-01,+1.839434e-01,+3.125840e-02,+7.945616e-02,+1.257170e-01,+2.072892e-01,+2.501621e-01,+2.157861e-01,+1.895074e-01,+2.450062e-01,+2.278157e-01,+2.802155e-01,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes
19,+1.986399e-01,+1.545100e-01,-3.519801e-03,+5.648532e-02,+1.063627e-01,+2.443011e-01,+2.800683e-01,+2.281961e-01,+1.937144e-01,+2.719370e-01,+2.436384e-01,+2.241763e-01,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes
20,+2.106340e-01,+1.824265e-01,+3.100099e-02,+7.397113e-02,+1.224867e-01,+2.094604e-01,+2.152342e-01,+2.054502e-01,+2.692267e-01,+2.250417e-01,+1.948142e-01,+2.157804e-01,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes
21,+2.012906e-01,+9.926070e-02,+3.456379e-02,+1.763751e-01,+9.220078e-02,+2.156988e-01,+1.828706e-01,+2.279896e-01,+2.628257e-01,+2.430470e-01,+1.855858e-01,+1.628595e-01,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes
22,+2.708771e-01,+1.468290e-01,-1.241744e-01,+7.502889e-02,+1.480283e-01,+2.136524e-01,+1.641141e-01,+2.835319e-01,+2.953891e-01,+2.272848e-01,+1.791989e-01,+2.135131e-01,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes
