special_point,K_acf_obs,joint_acf_sq_obs,LB_Q_obs,ACF_lag_24,ACF_lag_30,ACF_lag_36,ACF_lag_40,ACF_lag_45,ACF_lag_51,ACF_lag_60,ACF_lag_72,ACF_lag_90,ACF_lag_120,ACF_lag_180
Mesarthim,9,0.545754,267.1539,+0.295274,+0.325935,+0.269253,+0.198652,+0.130508,+0.102086,+0.165808,+0.147208,-0.017469,-0.174678,-0.364609
Sun,6,0.152978,73.3090,+0.103136,+0.144670,+0.174875,+0.023355,+0.171131,+0.118760,-0.043598,+0.048489,-0.035861,-0.108269,-0.172148
Moon,0,0.026074,11.7679,+0.005440,-0.008307,-0.063587,-0.079624,+0.036642,+0.025798,+0.057902,+0.052116,+0.053114,+0.064823,+0.022174
Mercury,4,0.094998,47.5281,+0.083605,+0.104295,+0.118890,+0.151639,-0.004388,+0.008905,-0.013730,+0.101785,-0.036288,+0.038930,-0.162855
Venus,2,0.058425,26.2913,+0.110180,+0.071418,+0.119339,+0.058389,+0.081626,+0.038170,+0.030334,-0.019645,-0.033404,-0.089144,-0.071032
Mars,4,0.135552,57.1479,+0.217483,+0.175410,+0.129011,+0.086890,-0.011518,+0.061951,+0.072491,+0.032893,-0.034413,-0.147106,-0.012570
Jupiter,7,0.316629,159.1748,+0.180838,+0.214667,+0.211308,+0.214943,+0.123392,+0.127034,+0.086506,+0.090721,-0.028100,-0.062668,-0.308544
Saturn,8,0.383032,174.1541,+0.238077,+0.249622,+0.300058,+0.161260,+0.155072,+0.068955,+0.209004,+0.047305,-0.003270,-0.152957,-0.223319
Uranus,9,0.390438,191.4891,+0.234775,+0.274557,+0.240122,+0.167552,+0.152239,+0.112197,+0.105916,+0.086130,-0.079504,-0.120372,-0.314632
Neptune,9,0.486189,223.8079,+0.283692,+0.301471,+0.241615,+0.229282,+0.147585,+0.119446,+0.218432,+0.067269,-0.007281,-0.231071,-0.249283
Pluto,9,0.499404,244.8315,+0.305786,+0.272059,+0.228988,+0.196739,+0.123648,+0.063557,+0.222728,+0.124676,-0.028071,-0.197689,-0.341163
Rahu,9,0.385939,168.5840,+0.278615,+0.292033,+0.262902,+0.200630,+0.170079,+0.112096,+0.124659,+0.030437,-0.058341,-0.135830,-0.183978
