bin_deg,gauquelin_extracted_norm,Sun_residual_sigma30_norm,Moon_residual_sigma30_norm,Mercury_residual_sigma30_norm,Venus_residual_sigma30_norm,Mars_residual_sigma30_norm,Jupiter_residual_sigma30_norm,Saturn_residual_sigma30_norm,Uranus_residual_sigma30_norm,Neptune_residual_sigma30_norm,Pluto_residual_sigma30_norm,Rahu_residual_sigma30_norm
0,+3.377483e-01,+4.626663e-01,+6.651172e-01,+4.143958e-01,+6.314325e-01,+8.268690e-01,+5.525741e-01,-3.687452e-01,+3.139695e-01,-6.761414e-02,-2.456857e-01,-2.839603e-01
1,+3.188269e-01,+4.651172e-01,+6.651632e-01,+4.151599e-01,+6.392248e-01,+8.198954e-01,+5.128151e-01,-3.765570e-01,+2.896081e-01,-7.091487e-02,-2.214093e-01,-2.519713e-01
2,+2.242195e-01,+4.678723e-01,+6.651439e-01,+4.162665e-01,+6.469766e-01,+8.124276e-01,+4.718489e-01,-3.839312e-01,+2.643727e-01,-7.546272e-02,-1.970549e-01,-2.193749e-01
3,+2.052980e-01,+4.709563e-01,+6.650494e-01,+4.177177e-01,+6.546753e-01,+8.044657e-01,+4.299784e-01,-3.906430e-01,+2.383890e-01,-8.012919e-02,-1.723993e-01,-1.863507e-01
4,+1.674551e-01,+4.743545e-01,+6.648911e-01,+4.195100e-01,+6.623156e-01,+7.960513e-01,+3.874134e-01,-3.961159e-01,+2.122219e-01,-8.476185e-02,-1.472525e-01,-1.528172e-01
5,+1.296121e-01,+4.780314e-01,+6.646418e-01,+4.216129e-01,+6.699072e-01,+7.871636e-01,+3.441615e-01,-4.007479e-01,+1.854812e-01,-8.944322e-02,-1.213042e-01,-1.188932e-01
6,+9.176916e-02,+4.819595e-01,+6.642934e-01,+4.240009e-01,+6.773773e-01,+7.777600e-01,+3.002568e-01,-4.048719e-01,+1.589932e-01,-9.514874e-02,-9.566422e-02,-8.473485e-02
7,+5.392621e-02,+4.861201e-01,+6.638391e-01,+4.266601e-01,+6.847527e-01,+7.678633e-01,+2.559515e-01,-4.077054e-01,+1.321165e-01,-1.001685e-01,-6.966945e-02,-5.044128e-02
8,+3.500473e-02,+4.905067e-01,+6.632697e-01,+4.295828e-01,+6.919797e-01,+7.574659e-01,+2.113911e-01,-4.099615e-01,+1.050273e-01,-1.052141e-01,-4.315124e-02,-1.593028e-02
9,+1.608325e-02,+4.950536e-01,+6.625719e-01,+4.327391e-01,+6.990400e-01,+7.465601e-01,+1.666345e-01,-4.112515e-01,+7.780424e-02,-1.106258e-01,-1.655380e-02,+1.874730e-02
10,-2.175970e-02,+4.997498e-01,+6.617366e-01,+4.360998e-01,+7.059179e-01,+7.351343e-01,+1.218059e-01,-4.115609e-01,+5.083080e-02,-1.163174e-01,+9.717000e-03,+5.337836e-02
11,-5.960265e-02,+5.045794e-01,+6.607638e-01,+4.396481e-01,+7.125982e-01,+7.231737e-01,+7.715579e-02,-4.109086e-01,+2.389662e-02,-1.212906e-01,+3.646966e-02,+8.793443e-02
12,-9.744560e-02,+5.094931e-01,+6.596353e-01,+4.433703e-01,+7.190465e-01,+7.107211e-01,+3.272425e-02,-4.096121e-01,-2.760253e-03,-1.260115e-01,+6.325189e-02,+1.223115e-01
13,-9.744560e-02,+5.144473e-01,+6.583355e-01,+4.472172e-01,+7.252396e-01,+6.977013e-01,-1.153321e-02,-4.072050e-01,-2.928338e-02,-1.305868e-01,+8.995870e-02,+1.563863e-01
14,-1.352886e-01,+5.194121e-01,+6.568604e-01,+4.511514e-01,+7.311530e-01,+6.841850e-01,-5.518732e-02,-4.040523e-01,-5.526937e-02,-1.351299e-01,+1.163344e-01,+1.900723e-01
15,-1.352886e-01,+5.244003e-01,+6.551905e-01,+4.551823e-01,+7.367804e-01,+6.701798e-01,-9.820694e-02,-3.997560e-01,-8.077212e-02,-1.389865e-01,+1.429705e-01,+2.234838e-01
16,-1.731315e-01,+5.293051e-01,+6.533091e-01,+4.592569e-01,+7.420759e-01,+6.556147e-01,-1.405491e-01,-3.951587e-01,-1.060842e-01,-1.426405e-01,+1.688835e-01,+2.562868e-01
17,-1.920530e-01,+5.341141e-01,+6.512289e-01,+4.633644e-01,+7.470569e-01,+6.405533e-01,-1.819916e-01,-3.896854e-01,-1.305026e-01,-1.455473e-01,+1.947516e-01,+2.884730e-01
18,-1.920530e-01,+5.388479e-01,+6.489382e-01,+4.674747e-01,+7.516763e-01,+6.249961e-01,-2.222555e-01,-3.834089e-01,-1.541288e-01,-1.479098e-01,+2.205841e-01,+3.201735e-01
19,-2.109745e-01,+5.433813e-01,+6.464319e-01,+4.715499e-01,+7.559102e-01,+6.089709e-01,-2.614877e-01,-3.761210e-01,-1.770521e-01,-1.498223e-01,+2.456809e-01,+3.510219e-01
20,-2.298959e-01,+5.477239e-01,+6.436901e-01,+4.755725e-01,+7.597586e-01,+5.924744e-01,-2.994171e-01,-3.678934e-01,-1.989663e-01,-1.506206e-01,+2.708473e-01,+3.811161e-01
21,-2.298959e-01,+5.518459e-01,+6.407071e-01,+4.795208e-01,+7.631821e-01,+5.755219e-01,-3.360604e-01,-3.585767e-01,-2.201036e-01,-1.505707e-01,+2.956658e-01,+4.104541e-01
22,-2.677389e-01,+5.556805e-01,+6.374738e-01,+4.833378e-01,+7.661572e-01,+5.581123e-01,-3.712530e-01,-3.490044e-01,-2.404850e-01,-1.502935e-01,+3.196002e-01,+4.388420e-01
23,-2.677389e-01,+5.591998e-01,+6.339830e-01,+4.870084e-01,+7.686752e-01,+5.402554e-01,-4.049671e-01,-3.389073e-01,-2.595649e-01,-1.490109e-01,+3.428880e-01,+4.660602e-01
24,-3.055818e-01,+5.624265e-01,+6.302503e-01,+4.905354e-01,+7.707380e-01,+5.220482e-01,-4.367040e-01,-3.275825e-01,-2.772001e-01,-1.458269e-01,+3.662166e-01,+4.924617e-01
25,-3.055818e-01,+5.652776e-01,+6.262624e-01,+4.938547e-01,+7.723135e-01,+5.034356e-01,-4.668081e-01,-3.153110e-01,-2.937536e-01,-1.423560e-01,+3.888636e-01,+5.175813e-01
26,-3.055818e-01,+5.677173e-01,+6.220036e-01,+4.969379e-01,+7.733817e-01,+4.844592e-01,-4.953200e-01,-3.026306e-01,-3.091519e-01,-1.377549e-01,+4.106940e-01,+5.417707e-01
27,-3.245033e-01,+5.697286e-01,+6.174572e-01,+4.997895e-01,+7.739306e-01,+4.651240e-01,-5.218831e-01,-2.897331e-01,-3.234453e-01,-1.321453e-01,+4.319010e-01,+5.648803e-01
28,-3.245033e-01,+5.712614e-01,+6.126338e-01,+5.023641e-01,+7.739376e-01,+4.454848e-01,-5.464677e-01,-2.759233e-01,-3.363457e-01,-1.258306e-01,+4.525658e-01,+5.865098e-01
29,-3.434248e-01,+5.723378e-01,+6.075548e-01,+5.046551e-01,+7.734383e-01,+4.255901e-01,-5.688768e-01,-2.616079e-01,-3.476109e-01,-1.180176e-01,+4.726098e-01,+6.070567e-01
30,-3.434248e-01,+5.728845e-01,+6.021980e-01,+5.066327e-01,+7.723938e-01,+4.054148e-01,-5.893550e-01,-2.469115e-01,-3.576773e-01,-1.091688e-01,+4.915133e-01,+6.263772e-01
31,-3.434248e-01,+5.729000e-01,+5.965707e-01,+5.082901e-01,+7.707981e-01,+3.850120e-01,-6.075650e-01,-2.313714e-01,-3.663813e-01,-9.923372e-02,+5.100460e-01,+6.444748e-01
32,-3.434248e-01,+5.723963e-01,+5.906677e-01,+5.095997e-01,+7.686561e-01,+3.644477e-01,-6.237200e-01,-2.149921e-01,-3.733552e-01,-8.773969e-02,+5.279381e-01,+6.614680e-01
33,-3.434248e-01,+5.713289e-01,+5.844826e-01,+5.105470e-01,+7.659647e-01,+3.437339e-01,-6.376550e-01,-1.980775e-01,-3.789628e-01,-7.541477e-02,+5.454718e-01,+6.772689e-01
34,-3.434248e-01,+5.696317e-01,+5.780138e-01,+5.110728e-01,+7.627067e-01,+3.228502e-01,-6.495287e-01,-1.812782e-01,-3.834389e-01,-6.254095e-02,+5.618953e-01,+6.916078e-01
35,-3.434248e-01,+5.673384e-01,+5.712579e-01,+5.111620e-01,+7.588760e-01,+3.018380e-01,-6.590986e-01,-1.638977e-01,-3.864979e-01,-4.801212e-02,+5.773033e-01,+7.047500e-01
36,-3.434248e-01,+5.644232e-01,+5.642504e-01,+5.108403e-01,+7.545033e-01,+2.808119e-01,-6.663679e-01,-1.461957e-01,-3.879723e-01,-3.188971e-02,+5.922082e-01,+7.165391e-01
37,-3.434248e-01,+5.608531e-01,+5.569772e-01,+5.100844e-01,+7.495563e-01,+2.597397e-01,-6.714917e-01,-1.280814e-01,-3.878766e-01,-1.539854e-02,+6.064334e-01,+7.271207e-01
38,-3.434248e-01,+5.566700e-01,+5.494383e-01,+5.088839e-01,+7.440514e-01,+2.386840e-01,-6.743723e-01,-1.099217e-01,-3.863436e-01,+2.328523e-03,+6.199739e-01,+7.363469e-01
39,-3.434248e-01,+5.518079e-01,+5.416287e-01,+5.072061e-01,+7.379985e-01,+2.176604e-01,-6.751182e-01,-9.179835e-02,-3.835442e-01,+2.058263e-02,+6.322823e-01,+7.441671e-01
