rank,SP,peak_bin_deg,trough_bin_deg,raw_peak_amp,pearson_r_zero_shift,R_sq,best_circular_shift_deg,pearson_r_at_best_shift
1,Mars,339,218,7.506012e-04,+0.503194,0.253205,-19,+0.634164
2,Jupiter,339,39,1.893519e-04,+0.496798,0.246809,9,+0.540638
3,Saturn,276,208,7.045286e-05,+0.391730,0.153452,-165,+0.633623
4,Sun,288,194,9.595564e-04,+0.347174,0.120530,-8,+0.353308
5,Moon,1,187,1.757428e-03,+0.339891,0.115526,-14,+0.355193
6,Mercury,294,189,1.195830e-03,+0.324543,0.105328,4,+0.325798
7,Venus,28,206,1.359181e-03,+0.248680,0.061842,-33,+0.386241
8,Neptune,87,215,3.658409e-05,+0.024646,0.000607,-172,+0.516415
9,Uranus,99,264,9.701268e-05,-0.011051,0.000122,156,+0.605264
10,Pluto,54,214,5.839227e-05,-0.066027,0.004360,-148,+0.629572
11,Rahu,45,213,1.710827e-04,-0.083436,0.006962,-149,+0.567628
