direction_deg,cmp_T_obs,cmp_T_null_mean,cmp_p,cmp_bf,mba_T_obs,mba_T_null_mean,mba_p,mba_bf
0,32.559016,11.997600,0.051390,9.729572,50.474867,11.997600,0.009998,50.010000
1,32.409893,11.997600,0.051790,9.654440,50.444462,11.997600,0.009798,51.030612
2,32.262331,11.997600,0.052190,9.580460,50.403578,11.997600,0.009798,51.030612
3,32.116548,11.997600,0.053789,9.295539,50.352285,11.997600,0.009998,50.010000
4,31.972763,11.997600,0.054189,9.226937,50.290670,11.997600,0.009998,50.010000
5,31.831199,11.997600,0.054789,9.125912,50.218839,11.997600,0.009998,50.010000
6,31.692080,11.997600,0.055189,9.059783,50.136910,11.997600,0.009998,50.010000
7,31.555631,11.997600,0.056389,8.867021,50.045019,11.997600,0.009998,50.010000
8,31.422079,11.997600,0.057189,8.743007,49.943318,11.997600,0.010398,48.086538
9,31.291651,11.997600,0.057788,8.652249,49.831974,11.997600,0.010398,48.086538
10,31.164571,11.997600,0.058188,8.592784,49.711167,11.997600,0.010598,47.179245
11,31.041067,11.997600,0.059388,8.419192,49.581093,11.997600,0.010998,45.463636
12,30.921361,11.997600,0.059988,8.335000,49.441962,11.997600,0.011598,43.112069
13,30.805675,11.997600,0.061388,8.144951,49.293997,11.997600,0.011598,43.112069
14,30.694228,11.997600,0.062188,8.040193,49.137433,11.997600,0.011798,42.381356
15,30.587237,11.997600,0.063587,7.863208,48.972519,11.997600,0.011798,42.381356
16,30.484914,11.997600,0.063587,7.863208,48.799513,11.997600,0.011998,41.675000
17,30.387465,11.997600,0.063787,7.838558,48.618688,11.997600,0.011798,42.381356
18,30.295095,11.997600,0.064587,7.741486,48.430324,11.997600,0.011998,41.675000
19,30.207999,11.997600,0.065187,7.670245,48.234714,11.997600,0.011998,41.675000
20,30.126369,11.997600,0.065587,7.623476,48.032156,11.997600,0.012198,40.991803
21,30.050388,11.997600,0.066587,7.509009,47.822961,11.997600,0.012198,40.991803
22,29.980232,11.997600,0.066987,7.464179,47.607445,11.997600,0.012198,40.991803
23,29.916069,11.997600,0.066987,7.464179,47.385933,11.997600,0.012398,40.330645
24,29.858059,11.997600,0.066987,7.464179,47.158755,11.997600,0.012398,40.330645
25,29.806352,11.997600,0.068586,7.290087,46.926247,11.997600,0.012597,39.690476
26,29.761088,11.997600,0.068386,7.311404,46.688751,11.997600,0.012797,39.070312
27,29.722398,11.997600,0.068386,7.311404,46.446612,11.997600,0.012997,38.469231
28,29.690399,11.997600,0.068386,7.311404,46.200179,11.997600,0.013197,37.886364
29,29.665201,11.997600,0.067986,7.354412,45.949805,11.997600,0.013397,37.320896
30,29.646899,11.997600,0.068786,7.268895,45.695844,11.997600,0.013797,36.239130
31,29.635577,11.997600,0.068586,7.290087,45.438652,11.997600,0.013997,35.721429
32,29.631305,11.997600,0.068386,7.311404,45.178585,11.997600,0.014797,33.790541
33,29.634141,11.997600,0.068586,7.290087,44.916000,11.997600,0.015397,32.474026
34,29.644130,11.997600,0.068986,7.247826,44.651254,11.997600,0.015797,31.651899
35,29.661302,11.997600,0.068986,7.247826,44.384701,11.997600,0.015997,31.256250
36,29.685674,11.997600,0.068986,7.247826,44.116695,11.997600,0.016797,29.767857
37,29.717247,11.997600,0.068386,7.311404,43.847588,11.997600,0.016997,29.417647
38,29.756010,11.997600,0.068386,7.311404,43.577727,11.997600,0.017397,28.741379
39,29.801935,11.997600,0.067986,7.354412,43.307456,11.997600,0.017796,28.095506
40,29.854981,11.997600,0.067387,7.419881,43.037117,11.997600,0.017996,27.783333
41,29.915090,11.997600,0.067387,7.419881,42.767046,11.997600,0.018196,27.478022
42,29.982191,11.997600,0.067187,7.441964,42.497574,11.997600,0.019396,25.778351
43,30.056198,11.997600,0.066987,7.464179,42.229026,11.997600,0.019996,25.005000
44,30.137009,11.997600,0.067187,7.441964,41.961723,11.997600,0.020796,24.043269
45,30.224508,11.997600,0.066987,7.464179,41.695978,11.997600,0.021596,23.152778
46,30.318565,11.997600,0.066987,7.464179,41.432100,11.997600,0.022196,22.527027
47,30.419034,11.997600,0.066387,7.531627,41.170388,11.997600,0.023195,21.556034
48,30.525757,11.997600,0.065387,7.646789,40.911137,11.997600,0.023795,21.012605
49,30.638561,11.997600,0.064187,7.789720,40.654631,11.997600,0.024595,20.329268
50,30.757261,11.997600,0.063587,7.863208,40.401151,11.997600,0.024995,20.004000
51,30.881656,11.997600,0.062987,7.938095,40.150967,11.997600,0.025395,19.688976
52,31.011537,11.997600,0.062587,7.988818,39.904342,11.997600,0.026195,19.087786
53,31.146679,11.997600,0.062188,8.040193,39.661531,11.997600,0.026795,18.660448
54,31.286849,11.997600,0.061788,8.092233,39.422782,11.997600,0.027594,18.119565
55,31.431800,11.997600,0.060988,8.198361,39.188333,11.997600,0.027794,17.989209
56,31.581279,11.997600,0.060388,8.279801,38.958417,11.997600,0.028194,17.734043
57,31.735019,11.997600,0.058988,8.476271,38.733255,11.997600,0.028394,17.609155
58,31.892748,11.997600,0.057788,8.652249,38.513062,11.997600,0.029194,17.126712
59,32.054184,11.997600,0.056589,8.835689,38.298047,11.997600,0.029594,16.895270
60,32.219040,11.997600,0.055989,8.930357,38.088407,11.997600,0.030194,16.559603
61,32.387020,11.997600,0.055389,9.027076,37.884333,11.997600,0.030794,16.237013
62,32.557825,11.997600,0.054189,9.226937,37.686009,11.997600,0.031394,15.926752
