special_point,direction_deg,v_obs,cmp_null_mean,cmp_null_sd,cmp_d,cmp_p,cmp_bf,mba_null_mean,mba_null_sd,mba_d,mba_p,mba_bf
Mesarthim,0,-0.03113758,-0.00002574,0.01260788,-2.467651,0.011998,41.675000,0.00822857,0.01291921,-3.047102,0.002200,227.318182
Sun,0,-0.00049453,0.00011011,0.00754800,-0.080105,0.936013,0.534181,0.00137388,0.00781573,-0.239057,0.815637,0.613018
Moon,0,-0.00098618,0.00000672,0.00209797,-0.473265,0.634073,0.788553,-0.00066204,0.00200106,-0.161984,0.876025,0.570760
Mercury,0,0.00064080,0.00007851,0.00678512,0.082872,0.938612,0.532701,0.00119343,0.00701091,-0.078824,0.940612,0.531569
Venus,0,-0.00508004,0.00005273,0.00519167,-0.988655,0.323935,1.543519,0.00037267,0.00553564,-0.985020,0.324735,1.539717
Mars,0,-0.01977453,0.00008497,0.01069768,-1.856430,0.066187,7.554381,0.00767256,0.01083906,-2.532238,0.013597,36.772059
Jupiter,0,-0.03025535,-0.00003862,0.01287792,-2.346398,0.017996,27.783333,0.00805007,0.01319461,-2.903112,0.004199,119.071429
Saturn,0,-0.02382329,-0.00017197,0.01242803,-1.903061,0.060788,8.225329,0.00393684,0.01273811,-2.179298,0.028394,17.609155
Uranus,0,-0.02175747,0.00015583,0.01291838,-1.696289,0.089982,5.556667,0.00849796,0.01297735,-2.331402,0.019196,26.046875
Neptune,0,-0.03090028,-0.00005289,0.01257940,-2.452215,0.011998,41.675000,0.00769057,0.01291031,-2.989148,0.002400,208.375000
Pluto,0,-0.01373668,-0.00022478,0.01249659,-1.081247,0.278144,1.797628,0.00051319,0.01267293,-1.124434,0.262348,1.905869
Rahu,0,-0.01999647,0.00016115,0.01244960,-1.619137,0.104779,4.771947,0.00778193,0.01254165,-2.214892,0.025195,19.845238
Mesarthim,1,-0.03114816,-0.00002153,0.01261312,-2.467799,0.012398,40.330645,0.00829097,0.01292062,-3.052418,0.002400,208.375000
Sun,1,-0.00018949,0.00010893,0.00754262,-0.039565,0.968006,0.516526,0.00138330,0.00781007,-0.201380,0.841832,0.593943
Moon,1,-0.00090431,0.00000686,0.00209765,-0.434377,0.664267,0.752709,-0.00062706,0.00200117,-0.138544,0.892222,0.560399
Mercury,1,0.00089959,0.00007747,0.00678017,0.121253,0.910218,0.549319,0.00122230,0.00700590,-0.046062,0.965207,0.518024
Venus,1,-0.00486594,0.00005215,0.00519016,-0.947580,0.344531,1.451248,0.00046242,0.00553333,-0.962959,0.335533,1.490167
Mars,1,-0.01965887,0.00008855,0.01070207,-1.845196,0.067586,7.397929,0.00769461,0.01083968,-2.523458,0.013597,36.772059
Jupiter,1,-0.03025642,-0.00003429,0.01288206,-2.346064,0.017796,28.095506,0.00812595,0.01319435,-2.909000,0.004399,113.659091
Saturn,1,-0.02416433,-0.00016901,0.01242802,-1.930743,0.056189,8.898577,0.00407539,0.01274121,-2.216407,0.024795,20.165323
Uranus,1,-0.02136656,0.00015919,0.01291892,-1.666219,0.095781,5.220251,0.00844003,0.01297351,-2.297497,0.020196,24.757426
Neptune,1,-0.03096012,-0.00004879,0.01258430,-2.456341,0.011598,43.112069,0.00776998,0.01291236,-2.999459,0.002400,208.375000
Pluto,1,-0.01421876,-0.00022319,0.01249239,-1.120327,0.261748,1.910237,0.00066800,0.01267468,-1.174527,0.239952,2.083750
Rahu,1,-0.01958305,0.00016406,0.01245078,-1.586013,0.112977,4.425664,0.00771850,0.01253909,-2.177314,0.028194,17.734043
Mesarthim,2,-0.03114925,-0.00001731,0.01261839,-2.467188,0.012398,40.330645,0.00835085,0.01292190,-3.056833,0.002400,208.375000
Sun,2,0.00011560,0.00010772,0.00753695,0.001046,0.998600,0.500701,0.00139230,0.00780417,-0.163593,0.875425,0.571151
Moon,2,-0.00082216,0.00000701,0.00209730,-0.395349,0.692661,0.721853,-0.00059188,0.00200131,-0.115063,0.909218,0.549923
Mercury,2,0.00115810,0.00007641,0.00677498,0.159660,0.880024,0.568166,0.00125079,0.00700068,-0.013240,0.991802,0.504133
Venus,2,-0.00465036,0.00005156,0.00518852,-0.906216,0.363527,1.375413,0.00055203,0.00553087,-0.940610,0.348530,1.434596
Mars,2,-0.01953721,0.00009211,0.01070690,-1.833334,0.070186,7.123932,0.00771432,0.01084069,-2.513819,0.013597,36.772059
Jupiter,2,-0.03024827,-0.00002995,0.01288619,-2.345017,0.017596,28.414773,0.00819935,0.01319394,-2.914036,0.004199,119.071429
Saturn,2,-0.02449801,-0.00016600,0.01242818,-1.957809,0.051990,9.617308,0.00421270,0.01274434,-2.252820,0.021996,22.731818
Uranus,2,-0.02096915,0.00016250,0.01291929,-1.635667,0.100980,4.951485,0.00837954,0.01296964,-2.262876,0.022396,22.325893
Neptune,2,-0.03101054,-0.00004467,0.01258927,-2.459702,0.011598,43.112069,0.00784702,0.01291430,-3.008879,0.002200,227.318182
Pluto,2,-0.01469650,-0.00022153,0.01248832,-1.159081,0.245951,2.032927,0.00082261,0.01267655,-1.224238,0.221356,2.258808
Rahu,2,-0.01916366,0.00016692,0.01245179,-1.552434,0.120576,4.146766,0.00765272,0.01253646,-2.139070,0.031394,15.926752
Mesarthim,3,-0.03114085,-0.00001310,0.01262369,-2.465820,0.012198,40.991803,0.00840818,0.01292307,-3.060344,0.002599,192.346154
Sun,3,0.00042065,0.00010647,0.00753099,0.041719,0.968206,0.516419,0.00140088,0.00779802,-0.125702,0.900220,0.555420
Moon,3,-0.00073976,0.00000715,0.00209694,-0.356191,0.718656,0.695743,-0.00055653,0.00200146,-0.091550,0.927015,0.539366
Mercury,3,0.00141626,0.00007533,0.00676955,0.198083,0.850030,0.588215,0.00127891,0.00699528,0.019635,0.987403,0.506379
Venus,3,-0.00443336,0.00005096,0.00518675,-0.864571,0.386523,1.293585,0.00064147,0.00552827,-0.917979,0.360128,1.388395
Mars,3,-0.01940961,0.00009565,0.01071218,-1.820849,0.072386,6.907459,0.00773168,0.01084210,-2.503325,0.013797,36.239130
Jupiter,3,-0.03023091,-0.00002560,0.01289030,-2.343260,0.018596,26.887097,0.00827026,0.01319339,-2.918217,0.004399,113.659091
Saturn,3,-0.02482423,-0.00016294,0.01242853,-1.984248,0.048590,10.290123,0.00434872,0.01274748,-2.288527,0.020196,24.757426
Uranus,3,-0.02056535,0.00016577,0.01291948,-1.604640,0.108578,4.604972,0.00831649,0.01296576,-2.227548,0.023995,20.837500
Neptune,3,-0.03105151,-0.00004055,0.01259431,-2.462299,0.011598,43.112069,0.00792167,0.01291613,-3.017404,0.002000,250.050000
Pluto,3,-0.01516977,-0.00021981,0.01248437,-1.197494,0.230554,2.168690,0.00097697,0.01267852,-1.273550,0.206159,2.425315
Rahu,3,-0.01873844,0.00016974,0.01245261,-1.518411,0.128374,3.894860,0.00758460,0.01253376,-2.100172,0.033793,14.795858
Mesarthim,4,-0.03112297,-0.00000887,0.01262902,-2.463698,0.012198,40.991803,0.00846296,0.01292411,-3.062951,0.002400,208.375000
Sun,4,0.00072558,0.00010519,0.00752474,0.082447,0.936813,0.533725,0.00140903,0.00779164,-0.087716,0.932813,0.536013
Moon,4,-0.00065713,0.00000729,0.00209655,-0.316913,0.749250,0.667334,-0.00052100,0.00200163,-0.068011,0.946011,0.528535
